,STATE/UT,YEAR,POPULATION,MALES,FEMALES,MALES(per_100k),FEMALES(per_100k),TOTAL IPC CRIMES,TOTAL IPC CRIMES(per_100k),ARSON,ARSON(per_100k),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(per_100k),ATTEMPT TO MURDER,ATTEMPT TO MURDER(per_100k),AUTO THEFT,AUTO THEFT(per_100k),BURGLARY,BURGLARY(per_100k),CAUSING DEATH BY NEGLIGENCE,CAUSING DEATH BY NEGLIGENCE(per_100k),CHEATING,CHEATING(per_100k),COUNTERFIETING,COUNTERFIETING(per_100k),CRIMINAL BREACH OF TRUST,CRIMINAL BREACH OF TRUST(per_100k),CRUELTY BY HUSBAND OR HIS RELATIVES,CRUELTY BY HUSBAND OR HIS RELATIVES(per_100k),CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER(per_100k),CUSTODIAL RAPE,CUSTODIAL RAPE(per_100k),DACOITY,DACOITY(per_100k),DOWRY DEATHS,DOWRY DEATHS(per_100k),HURT/GREVIOUS HURT,HURT/GREVIOUS HURT(per_100k),IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES(per_100k),INSULT TO MODESTY OF WOMEN,INSULT TO MODESTY OF WOMEN(per_100k),KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION(per_100k),KIDNAPPING AND ABDUCTION OF OTHERS,KIDNAPPING AND ABDUCTION OF OTHERS(per_100k),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS(per_100k),MURDER,MURDER(per_100k),OTHER RAPE,OTHER RAPE(per_100k),OTHER THEFT,OTHER THEFT(per_100k),PREPARATION AND ASSEMBLY FOR DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY(per_100k),RAPE,RAPE(per_100k),RIOTS,RIOTS(per_100k),ROBBERY,ROBBERY(per_100k),THEFT,THEFT(per_100k),OTHER IPC CRIMES,OTHER IPC CRIMES(per_100k)
10,Goa,2001,1348,687,660,50964.39169139466,48961.42433234421,4682,347329.3768545994,32,2373.887240356083,34,2522.255192878338,60,4451.038575667656,336,24925.816023738873,718,53264.094955489614,382,28338.278931750745,124,9198.813056379822,4,296.7359050445104,78,5786.350148367953,22,1632.0474777448073,10,741.839762611276,0,0.0,14,1038.5756676557862,4,296.7359050445104,348,25816.0237388724,0,0.0,14,1038.5756676557862,18,1335.3115727002967,6,445.1038575667656,12,890.2077151335312,72,5341.246290801187,24,1780.4154302670624,816,60534.12462908012,0,0.0,24,1780.4154302670624,128,9495.548961424332,50,3709.1988130563795,1152,85459.94065281899,1394,103412.46290801188
11,Gujarat,2001,50671,26386,24285,52073.17795188569,47926.82204811431,206838,408197.98306723766,898,1772.2168498746819,1512,2983.9553196108227,1074,2119.555564326735,11008,21724.457776637522,10284,20295.632610368848,5848,11541.118193838684,3558,7021.767875115945,110,217.0866965325334,3496,6899.409918888516,7334,14473.762112450908,188,371.0208995283298,0,0.0,654,1290.6790866570623,134,264.4510666850862,27520,54311.14444159381,0,0.0,222,438.1204239111129,1996,3939.13678435397,282,556.5313492924947,1714,3382.6054350614745,2452,4839.0598172524715,572,1128.8508219691737,20660,40772.82863965582,38,74.99358607487518,572,1128.8508219691737,3860,7617.7695328689,1982,3911.507568431647,31668,62497.28641629334,101438,200189.4574806102
12,Haryana,2001,21145,11364,9781,53743.201702530154,46256.79829746985,77518,366602.0335776779,406,1920.075668006621,956,4521.163395601798,934,4417.119886497991,6044,28583.58950106408,6218,29406.479073066923,1712,8096.476708441712,2032,9609.836840860724,74,349.9645306218964,1112,5258.926460156065,3026,14310.711752187277,156,737.7630645542681,0,0.0,154,728.3045637266493,570,2695.6727358713647,9488,44871.12792622369,0,0.0,802,3792.8588318751476,898,4246.8668716008515,304,1437.692125798061,594,2809.1747458027903,1562,7387.0891463703,796,3764.4833293922916,6190,29274.060061480257,282,1333.6486166942539,796,3764.4833293922916,1500,7093.875620714117,794,3755.024828564672,12234,57857.649562544335,31812,150446.914164105
13,Himachal Pradesh,2001,6078,3088,2990,50806.18624547548,49193.81375452451,22998,378381.04639684106,268,4409.345179335308,620,10200.723922342877,150,2467.9170779861797,284,4672.589667653833,1688,27772.293517604474,966,15893.385982230999,292,4804.211911813097,4,65.81112207963146,138,2270.4837117472853,634,10431.062849621587,22,361.961171437973,0,0.0,8,131.62224415926292,20,329.0556103981573,2806,46166.50213886146,0,0.0,28,460.6778545574202,252,4146.100691016782,42,691.0167818361303,210,3455.0839091806515,238,3915.7617637380717,248,4080.2895689371503,916,15070.746956235604,0,0.0,248,4080.2895689371503,1256,20664.692333004277,56,921.3557091148404,1200,19743.336623889438,12104,199144.4554129648
14,India,2001,1028610,532157,496454,51735.54602813506,48264.55119044147,3538616,344019.21039072145,21068,2048.200970241394,68248,6634.973410719321,63046,6129.242375633135,127426,12388.174332351426,202364,19673.540020027027,114364,11118.305285774006,89454,8696.590544521247,3366,327.23772858517805,29596,2877.280990851732,98340,9560.474815527752,6734,654.6698943234073,0,0.0,12308,1196.5662398771158,13702,1332.0889355538056,542974,52787.1593704125,228,22.165835447837374,19492,1894.984493637044,44974,4372.3082606624475,15684,1524.7761542275498,29290,2847.5321064348977,72404,7039.0138147597245,32150,3125.5772352981207,378180,36766.12127045236,3228,313.8215650246449,32150,3125.5772352981207,152444,14820.38867986895,39802,3869.4937828720313,505606,49154.29560280378,1402724,136370.83053829925
15,Jammu & Kashmir,2001,10144,5361,4783,52848.97476340694,47151.02523659306,39010,384562.3028391167,874,8615.930599369085,1244,12263.406940063092,2948,29061.514195583597,1266,12480.283911671924,2690,26518.13880126183,714,7038.643533123029,782,7708.9905362776035,30,295.74132492113563,180,1774.447949526814,100,985.8044164037855,66,650.6309148264985,0,0.0,48,473.18611987381706,26,256.30914826498423,636,6269.716088328076,0,0.0,576,5678.233438485804,1212,11947.949526813882,204,2011.0410094637223,1008,9936.908517350159,2150,21194.794952681386,338,3332.018927444795,2572,25354.88958990536,0,0.0,338,3332.018927444795,2144,21135.64668769716,322,3174.290220820189,3838,37835.17350157729,18092,178351.73501577287
16,Jharkhand,2001,26946,13885,13061,51528.98389371335,48471.01610628665,50894,188874.04438506643,330,1224.6715653529282,594,2204.4088176352707,1732,6427.670155125064,1508,5596.37794106732,2532,9396.570919617012,840,3117.3458027165443,1108,4111.927558821346,46,170.71179395828693,566,2100.4972908780524,968,3592.3699250352556,286,1061.3820233058711,0,0.0,1272,4720.552215542195,434,1610.6286647368813,4508,16729.75580791212,4,14.844503822459735,10,37.111259556149335,882,3273.2130928523716,324,1202.4048096192384,558,2070.808283233133,3014,11185.33363022341,1134,4208.416833667335,6146,22808.580123209384,96,356.26809173903365,1134,4208.416833667335,4036,14978.104356861872,1294,4802.196986565724,7654,28404.958064276703,17554,65145.10502486455
17,Karnataka,2001,52851,26899,25952,50895.91493065411,49104.0850693459,218196,412851.2232502696,704,1332.0466973188775,3330,6300.732247261168,2950,5581.729768594729,8032,15197.441864865377,12788,24196.325518911657,200,378.422357192863,5356,10134.15072562487,262,495.7332879226505,988,1869.406444532743,3510,6641.312368734745,148,280.0325443227186,0,0.0,356,673.591795803296,440,832.5291858242986,46570,88115.64587235815,0,0.0,162,306.522109326219,1118,2115.380976708104,576,1089.8563887154453,542,1025.5245879926586,3252,6153.147527955952,586,1108.7775065750884,17704,33497.94705871223,72,136.23204858943066,586,1108.7775065750884,13372,25301.31880191482,1694,3205.2373654235494,25736,48695.3889235776,94602,178997.5591757961
18,Kerala,2001,31841,15469,16373,48582.01689645425,51421.12370842624,207694,652284.7900505638,1536,4823.969096447976,3884,12198.109355861938,1230,3862.944003014981,3590,11274.771520994944,8948,28102.13247071386,0,0.0,5512,17311.014101315912,478,1501.2091328789925,856,2688.3577777079863,5122,16086.178197920919,222,697.2142834709965,0,0.0,352,1105.4929179359945,54,169.59266354699915,39658,124550.10835086837,0,0.0,162,508.7779906409975,366,1149.4613862629942,172,540.1840394459973,194,609.277346816997,944,2964.731007191985,1124,3530.039885681982,7292,22901.290788605886,26,81.65572689299958,1124,3530.039885681982,16216,50928.04874218775,1034,3247.385446436984,10882,34176.06230960083,109088,342602.3052039823
19,Lakshadweep,2001,61,31,30,50819.67213114754,49180.32786885246,72,118032.78688524589,4,6557.377049180328,0,0.0,0,0.0,0,0.0,2,3278.688524590164,0,0.0,0,0.0,0,0.0,2,3278.688524590164,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,9836.065573770491,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3278.688524590164,0,0.0,20,32786.885245901634,0,0.0,0,0.0,2,3278.688524590164,0,0.0,20,32786.885245901634,34,55737.70491803278
