,STATE/UT,YEAR,POPULATION,MALES,FEMALES,MALES(per_100k),FEMALES(per_100k),TOTAL IPC CRIMES,TOTAL IPC CRIMES(per_100k),ARSON,ARSON(per_100k),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(per_100k),ATTEMPT TO MURDER,ATTEMPT TO MURDER(per_100k),AUTO THEFT,AUTO THEFT(per_100k),BURGLARY,BURGLARY(per_100k),CAUSING DEATH BY NEGLIGENCE,CAUSING DEATH BY NEGLIGENCE(per_100k),CHEATING,CHEATING(per_100k),COUNTERFIETING,COUNTERFIETING(per_100k),CRIMINAL BREACH OF TRUST,CRIMINAL BREACH OF TRUST(per_100k),CRUELTY BY HUSBAND OR HIS RELATIVES,CRUELTY BY HUSBAND OR HIS RELATIVES(per_100k),CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER(per_100k),CUSTODIAL RAPE,CUSTODIAL RAPE(per_100k),DACOITY,DACOITY(per_100k),DOWRY DEATHS,DOWRY DEATHS(per_100k),HURT/GREVIOUS HURT,HURT/GREVIOUS HURT(per_100k),IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES(per_100k),INSULT TO MODESTY OF WOMEN,INSULT TO MODESTY OF WOMEN(per_100k),KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION(per_100k),KIDNAPPING AND ABDUCTION OF OTHERS,KIDNAPPING AND ABDUCTION OF OTHERS(per_100k),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS(per_100k),MURDER,MURDER(per_100k),OTHER RAPE,OTHER RAPE(per_100k),OTHER THEFT,OTHER THEFT(per_100k),PREPARATION AND ASSEMBLY FOR DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY(per_100k),RAPE,RAPE(per_100k),RIOTS,RIOTS(per_100k),ROBBERY,ROBBERY(per_100k),THEFT,THEFT(per_100k),OTHER IPC CRIMES,OTHER IPC CRIMES(per_100k)
73,Andhra Pradesh,2003,78074,39414,38660,50482.87522094423,49517.12477905577,313902,402057.0228244998,2098,2687.194200374004,8256,10574.583087839743,3356,4298.486051694546,9042,11581.320285882624,18100,23183.133949842457,17030,21812.639290929117,15162,19420.037400414993,636,814.6117785690499,2198,2815.2778133565594,16334,20921.177344570537,294,376.56582216871175,0,0.0,352,450.85431769859366,932,1193.7392729974129,83090,106424.67402720496,10,12.808361298255502,4572,5855.982785562415,2970,3804.083305581884,1108,1419.1664318467097,1862,2384.9168737351742,5334,6831.979916489485,1892,2423.3419576299407,37774,48382.30396803033,10,12.808361298255502,1892,2423.3419576299407,4656,5963.573020467761,1320,1690.7036913697261,46816,59963.62425391295,78484,100525.14281322848
74,Arunachal Pradesh,2003,1127,595,532,52795.03105590062,47204.96894409938,4122,365749.77817213844,20,1774.6228926353149,86,7630.878438331855,40,3549.2457852706298,100,8873.114463176575,506,44897.95918367347,0,0.0,42,3726.7080745341614,14,1242.2360248447203,56,4968.944099378881,28,2484.4720496894406,6,532.3868677905945,0,0.0,74,6566.104702750665,0,0.0,854,75776.39751552795,0,0.0,0,0.0,136,12067.435669920142,34,3016.8589174800354,102,9050.576752440107,154,13664.596273291927,62,5501.330967169477,640,56787.932564330076,0,0.0,62,5501.330967169477,14,1242.2360248447203,120,10647.73735581189,740,65661.04702750666,1170,103815.43921916591
75,Assam,2003,27478,14181,13298,51608.559574932675,48395.07970012373,76390,278004.2215590654,1354,4927.578426377466,1756,6390.566999053789,970,3530.0968047165,812,2955.091345803916,5212,18967.901594002476,4172,15183.055535337362,1788,6507.0238008588685,116,422.15590654341656,1222,4447.1941189315085,3616,13159.618603974088,96,349.3704054152413,0,0.0,942,3428.1971031370554,120,436.71300676905156,9904,36043.38015867239,0,0.0,12,43.67130067690516,3256,11849.479583666933,554,2016.158381250455,2702,9833.321202416479,2382,8668.753184365674,2190,7970.012373535192,10238,37258.89802751292,52,189.24230293325567,2190,7970.012373535192,6680,24310.35737681054,1046,3806.681709003566,11050,40213.989373316836,18454,67159.18189096732
76,Bihar,2003,86194,44867,41328,52053.507204677815,47947.65296888415,184526,214082.18669512958,1338,1552.312225908996,1376,1596.3988212636611,7080,8214.028818711278,2714,3148.7110471726573,5972,6928.556512054202,5148,5972.57349699515,3894,4517.715850291203,184,213.47193540153606,2210,2563.9835719423622,3760,4362.25259298791,596,691.4634429310624,0,0.0,2442,2833.1438383182126,1818,2109.1955356521335,17768,20613.96384899181,74,85.85284358540036,22,25.523818363227143,4854,5631.482469777479,3506,4067.568508248834,1348,1563.9139615286447,7542,8750.029004339049,1970,2285.5419170707937,17534,20342.48323549203,240,278.4416548715688,1970,2285.5419170707937,16058,18630.067058031884,4926,5715.0149662389495,20248,23491.19428266469,75006,87019.97818873703
77,Chandigarh,2003,957,544,412,56844.30512016719,43051.20167189133,5612,586415.8829676071,8,835.9456635318705,22,2298.8505747126437,30,3134.796238244514,1104,115360.50156739813,408,42633.22884012539,16,1671.891327063741,418,43678.160919540234,4,417.97283176593527,64,6687.565308254964,186,19435.736677115987,4,417.97283176593527,0,0.0,6,626.9592476489028,2,208.98641588296763,142,14838.0355276907,0,0.0,8,835.9456635318705,64,6687.565308254964,8,835.9456635318705,56,5851.619644723093,42,4388.71473354232,36,3761.7554858934172,1372,143364.68129571577,2,208.98641588296763,36,3761.7554858934172,92,9613.37513061651,24,2507.836990595611,2476,258725.1828631139,1558,162800.41797283175
78,Chhattisgarh,2003,21553,10829,10725,50243.585579733684,49761.05414559458,76898,356785.5982925811,302,1401.197049134691,2962,13742.866422307801,1026,4760.358186795342,1844,8555.653505312486,7242,33600.89082726302,2316,10745.603860251473,824,3823.133670486707,48,222.7068157565072,152,705.2382498956061,1202,5576.949844569202,102,473.2519834825778,0,0.0,280,1299.123091912959,158,733.0766018651696,7306,33897.8332482717,0,0.0,210,974.342318934719,354,1642.4627662042408,56,259.8246183825917,298,1382.638147821649,1552,7200.8537094604,1796,8332.946689555978,6496,30139.655732380645,28,129.91230919129586,1796,8332.946689555978,1406,6523.453811534358,662,3071.4981673084953,8340,38695.30923769312,38630,179232.5894307057
79,D&N Haveli,2003,229,135,94,58951.96506550219,41048.03493449782,676,295196.5065502184,8,3493.4497816593885,8,3493.4497816593885,10,4366.812227074236,30,13100.436681222707,82,35807.86026200873,2,873.3624454148471,26,11353.711790393014,4,1746.7248908296942,16,6986.899563318777,4,1746.7248908296942,0,0.0,0,0.0,8,3493.4497816593885,0,0.0,44,19213.973799126637,0,0.0,0,0.0,14,6113.53711790393,6,2620.0873362445413,8,3493.4497816593885,22,9606.986899563319,2,873.3624454148471,92,40174.67248908297,0,0.0,2,873.3624454148471,34,14847.161572052402,12,5240.174672489083,122,53275.10917030568,258,112663.75545851528
80,Daman & Diu,2003,182,107,75,58791.208791208795,41208.791208791205,538,295604.3956043956,2,1098.901098901099,6,3296.703296703297,6,3296.703296703297,50,27472.527472527476,82,45054.945054945056,12,6593.406593406594,16,8791.208791208792,12,6593.406593406594,16,8791.208791208792,0,0.0,0,0.0,0,0.0,8,4395.604395604396,2,1098.901098901099,28,15384.615384615385,0,0.0,0,0.0,2,1098.901098901099,0,0.0,2,1098.901098901099,12,6593.406593406594,10,5494.505494505494,42,23076.923076923078,0,0.0,10,5494.505494505494,62,34065.93406593407,2,1098.901098901099,92,50549.45054945055,168,92307.69230769231
81,Delhi UT,2003,14698,8086,6612,55014.28765818479,44985.71234181521,94808,645040.1415158524,120,816.4376105592598,978,6653.966526057967,814,5538.168458293646,14890,101306.30017689482,3796,25826.643080691254,804,5470.131990747041,4158,28289.56320587835,86,585.1136209008029,862,5864.743502517349,2422,16478.432439787728,130,884.4740781058647,0,0.0,56,381.0042182609879,260,1768.9481562117294,3416,23241.25731392026,0,0.0,210,1428.7658184787044,2312,15730.03129677507,718,4885.018369846238,1594,10845.012926928834,970,6599.537352020683,980,6667.5738195672875,16198,110205.47013199076,214,1455.9804054973465,980,6667.5738195672875,160,1088.5834807456797,882,6000.81643761056,31088,211511.77030888558,40090,272758.19839433936
82,Goa,2003,1376,710,666,51598.83720930233,48401.16279069768,4488,326162.79069767444,36,2616.279069767442,38,2761.6279069767443,50,3633.720930232558,264,19186.04651162791,514,37354.651162790695,328,23837.209302325584,212,15406.976744186046,6,436.04651162790697,120,8720.93023255814,48,3488.3720930232557,12,872.0930232558139,0,0.0,10,726.7441860465116,4,290.69767441860466,396,28779.069767441862,0,0.0,14,1017.4418604651164,28,2034.8837209302328,2,145.34883720930233,26,1889.53488372093,68,4941.860465116279,62,4505.813953488372,664,48255.813953488374,0,0.0,62,4505.813953488372,94,6831.395348837209,42,3052.3255813953488,928,67441.86046511628,1478,107412.79069767443
83,Gujarat,2003,52429,27352,25076,52169.60079345401,47828.49186518911,207418,395616.9295618837,1032,1968.376280302886,1444,2754.2009193385343,956,1823.4183371798051,14402,27469.530221823803,11688,22293.00577924431,7072,13488.71807587404,3950,7533.998359686433,550,1049.0377462854528,3746,7144.900722882375,7368,14053.291117511302,58,110.6257986991932,0,0.0,676,1289.3627572526657,108,205.99286654332528,25222,48106.96370329398,0,0.0,184,350.95080966640603,2088,3982.528753170955,370,705.7163020465773,1718,3276.8124511243777,2228,4249.556543134525,472,900.2651204486067,24206,46169.10488470122,28,53.40555799271396,472,900.2651204486067,3648,6957.981269907876,2534,4833.202998340614,38608,73638.63510652502,93758,178828.51093860267
84,Haryana,2003,22015,11846,10169,53808.766749943214,46191.23325005678,77224,350779.01430842606,244,1108.3352259822848,688,3125.1419486713603,892,4051.7828753122867,6158,27971.837383602087,5962,27081.535316829435,1942,8821.258233022938,1800,8176.243470361118,60,272.5414490120372,1172,5323.642970701794,3236,14699.068816715877,152,690.438337497161,0,0.0,126,572.3370429252782,444,2016.8067226890757,8306,37728.82125823302,0,0.0,2604,11828.298887122417,776,3524.869407222348,234,1062.9116511469454,542,2461.957756075403,1404,6377.469906881672,706,3206.9043833749715,5024,22820.803997274586,380,1726.0958437429026,706,3206.9043833749715,1278,5805.1328639563935,562,2552.804905746082,11182,50792.64138087668,33308,151296.84306154895
85,Himachal Pradesh,2003,6234,3171,3063,50866.21751684311,49133.78248315688,24022,385338.4664741739,242,3881.9377606673083,500,8020.532563362208,148,2374.0776387552132,436,6993.904395251844,1414,22682.06608918832,926,14854.026307346807,260,4170.676932948348,6,96.24639076034649,126,2021.174205967276,442,7090.150786012191,10,160.41065126724416,0,0.0,16,256.65704202759065,12,192.49278152069297,2770,44433.75040102663,0,0.0,36,577.4783445620789,226,3625.280718639717,34,545.3962143086301,192,3079.8845043310876,250,4010.266281681104,252,4042.348411934552,818,13121.591273660571,0,0.0,252,4042.348411934552,1220,19570.099454603784,38,609.5604748155278,1254,20115.495668912416,13874,222553.73756817455
86,India,2003,1062388,549671,512716,51739.19509633016,48260.710776100634,3432240,323068.4081522005,18730,1763.009371340791,65878,6200.9360045482445,51884,4883.714800995493,138614,13047.398878752394,185654,17475.15973448495,121344,11421.815758461127,94956,8937.977462094828,4110,386.86430946132674,26864,2528.6430193112124,101406,9545.100283512238,8058,758.4799527103092,2,0.1882551384240033,10606,998.3169990624895,12416,1168.6878993362122,522888,49218.17641012512,92,8.65973636750415,24650,2320.2445810758404,39984,3763.5967273726733,13392,1260.5564068871258,26592,2503.0403204855475,65432,6158.955108679692,31692,2983.090923466756,351860,33119.7265029349,4604,433.36332865205554,31694,2983.2791786051803,114668,10793.420106401805,35024,3296.7239840811458,490474,46167.12538168729,1400824,131856.158013833
87,Jammu & Kashmir,2003,10461,5518,4943,52748.30322148935,47251.69677851066,42466,405945.89427397,656,6270.911002772202,1750,16728.802217761207,2432,23248.255424911575,1152,11012.331517063378,3052,29175.031067775548,756,7226.842558072842,816,7800.401491253227,42,401.491253226269,232,2217.761208297486,142,1357.4228085269094,58,554.4403020743715,0,0.0,46,439.72851543829466,20,191.1863110601281,620,5926.775642863971,0,0.0,752,7188.605295860816,1424,13612.46534748112,194,1854.5072172832424,1230,11757.958130197878,1858,17761.2082974859,422,4034.031163368703,2746,26249.88050855559,0,0.0,422,4034.031163368703,2334,22311.44250071695,308,2944.269190325973,3898,37262.21202561897,20848,199292.61064907754
88,Jharkhand,2003,27922,14384,13538,51514.93446028222,48485.06553971778,64406,230663.99255067686,294,1052.9331709762912,848,3037.031731251343,1914,6854.809827376263,1128,4039.8252274192396,2936,10515.006088389084,1284,4598.524460998496,958,3430.9863190315878,10,35.814053434567725,530,1898.1448320320892,1118,4004.0111739846716,218,780.7463648735763,0,0.0,1404,5028.293102213308,524,1876.656399971349,6124,21932.526323329275,0,0.0,4,14.32562137382709,974,3488.2888045268965,450,1611.6324045555477,524,1876.656399971349,2964,10615.285438005874,1424,5099.921209082444,7182,25721.65317670654,74,265.02399541580115,1424,5099.921209082444,4962,17770.933314232505,1728,6188.668433493303,8310,29761.47840412578,25804,92414.58348255855
89,Karnataka,2003,54246,27582,26664,50846.1453379051,49153.854662094906,224810,414426.8701839767,830,1530.066733031007,3170,5843.748847841315,2482,4575.4525679312765,8592,15838.95586771375,12110,22324.226671090953,344,634.1481399550197,5504,10146.370239280315,252,464.55038159495626,990,1825.0193562658997,3408,6282.490874903218,116,213.84065184529734,0,0.0,440,811.1197138959554,388,715.2601113446152,43826,80791.21041182759,0,0.0,168,309.70025439663755,1062,1957.7480367216017,574,1058.1425358551783,488,899.6055008664233,3012,5552.483132396858,642,1183.4974007300077,19768,36441.39660067102,130,239.64900637835046,642,1183.4974007300077,11568,21325.074659882757,1722,3174.4276075655343,28360,52280.352468384765,104286,192246.43291671274
90,Kerala,2003,32421,15761,16660,48613.55294407945,51386.44705592055,197648,609629.5610869499,826,2547.731408654884,3894,12010.73378365874,896,2763.640850066315,3336,10289.627093550476,8818,27198.420776657105,70,215.90944141143086,6122,18882.822861725424,258,795.7805126307024,646,1992.5357021683476,5860,18074.704666728354,686,2115.9125258320223,0,0.0,284,875.975448012091,66,203.5717590450634,35392,109163.81357761944,0,0.0,136,419.4812004564942,378,1165.9109836217267,174,536.6891829369853,204,629.2218006847414,870,2683.4459146849263,788,2430.523426174393,6446,19882.17513340119,38,117.20798248049105,788,2430.523426174393,13596,41935.782363283055,1268,3911.0453101384905,9782,30171.802226951666,106974,329952.80836494867
91,Lakshadweep,2003,67,34,33,50746.26865671642,49253.73134328358,62,92537.31343283583,4,5970.149253731343,2,2985.0746268656717,0,0.0,2,2985.0746268656717,12,17910.447761194027,0,0.0,0,0.0,0,0.0,0,0.0,2,2985.0746268656717,0,0.0,0,0.0,0,0.0,0,0.0,2,2985.0746268656717,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5970.149253731343,14,20895.5223880597,0,0.0,4,5970.149253731343,8,11940.298507462687,0,0.0,16,23880.597014925374,12,17910.447761194027
92,Madhya Pradesh,2003,62799,32731,30069,52120.256691985545,47881.33569005876,382156,608538.352521537,1736,2764.375228904919,13696,21809.264478733738,4826,7684.83574579213,10524,16758.22863421392,25768,41032.50051752416,7556,12032.038726731318,2444,3891.7817162693673,76,121.02103536680521,1098,1748.435484641475,5876,9356.836892307201,406,646.5071099858278,0,0.0,306,487.26890555582094,1296,2063.7271294128886,58716,93498.30411312282,0,0.0,1410,2245.2586824630966,1774,2824.8857465883216,558,888.5491807194381,1216,1936.3365658688833,4454,7092.469625312505,5476,8719.884074587175,30320,48281.02358317808,282,449.0517364926193,5476,8719.884074587175,5458,8691.221197789773,3156,5025.557731811016,40844,65039.25221739199,195502,311313.87442475196
93,Maharashtra,2003,100030,52074,47956,52058.38248525443,47941.61751474558,328612,328513.44596621016,2376,2375.287413775867,5322,5320.403878836349,2824,2823.153054083775,18542,18536.439068279517,27784,27775.66729981006,18756,18750.37488753374,10010,10006.99790062981,522,521.8434469659103,3122,3121.0636808957315,10904,10900.72978106568,226,225.93222033389983,0,0.0,1028,1027.6916924922523,736,735.779266220134,58410,58392.482255323404,0,0.0,1364,1363.590922723183,1852,1851.444566630011,600,599.8200539838049,1252,1251.624512646206,5544,5542.337298810357,2536,2535.2394281715483,55654,55637.30880735779,498,497.850644806558,2536,2535.2394281715483,11428,11424.572628211536,4192,4190.74277716685,74196,74173.7478756373,84982,84956.51304608618
94,Manipur,2003,2223,1123,1100,50517.31893837157,49482.68106162843,5074,228250.11246063877,94,4228.520017993702,88,3958.614484930274,398,17903.733693207378,248,11156.095366621683,136,6117.858749437697,8,359.8740440845704,152,6837.606837606838,14,629.7795771479981,32,1439.4961763382817,8,359.8740440845704,12,539.8110661268556,0,0.0,6,269.9055330634278,0,0.0,648,29149.7975708502,0,0.0,0,0.0,240,10796.221322537112,98,4408.457040035987,142,6387.764282501125,300,13495.27665317139,36,1619.4331983805669,256,11515.969410706253,0,0.0,36,1619.4331983805669,146,6567.70130454341,12,539.8110661268556,504,22672.064777327934,2240,100764.7323436797
95,Meghalaya,2003,2379,1206,1173,50693.56872635561,49306.43127364439,3338,140311.05506515343,32,1345.1029844472469,26,1092.896174863388,120,5044.136191677176,216,9079.445145018915,320,13451.029844472467,82,3446.8263976460694,68,2858.343841950399,8,336.2757461118117,24,1008.827238335435,8,336.2757461118117,34,1429.1719209751996,0,0.0,166,6977.721731820093,0,0.0,212,8911.307271963009,0,0.0,2,84.06893652795293,98,4119.377889869693,78,3278.688524590164,20,840.6893652795292,350,14712.063892391761,80,3362.7574611181167,504,21185.372005044137,2,84.06893652795293,80,3362.7574611181167,10,420.3446826397646,266,11181.168558217738,720,30264.81715006305,710,29844.47246742329
96,Mizoram,2003,912,471,441,51644.73684210527,48355.26315789473,6912,757894.7368421052,46,5043.859649122806,176,19298.245614035088,72,7894.736842105262,114,12500.0,974,106798.24561403508,22,2412.280701754386,120,13157.894736842105,24,2631.578947368421,38,4166.666666666666,6,657.8947368421052,6,657.8947368421052,0,0.0,10,1096.4912280701753,0,0.0,284,31140.350877192985,0,0.0,0,0.0,16,1754.3859649122805,12,1315.7894736842104,4,438.59649122807014,92,10087.719298245613,108,11842.105263157893,2492,273245.6140350877,0,0.0,108,11842.105263157893,6,657.8947368421052,42,4605.263157894737,2606,285745.6140350877,2264,248245.61403508772
97,Nagaland,2003,2042,1074,968,52595.494613124385,47404.505386875615,1952,95592.55631733594,10,489.7159647404506,8,391.77277179236046,68,3330.0685602350636,74,3623.8981390793338,190,9304.60333006856,82,4015.6709108716946,22,1077.375122428991,14,685.6023506366307,6,293.8295788442703,0,0.0,16,783.5455435847209,0,0.0,38,1860.9206660137122,0,0.0,96,4701.273261508325,2,97.94319294809011,4,195.88638589618023,76,3721.8413320274244,70,3428.011753183154,6,293.8295788442703,182,8912.8305582762,28,1371.2047012732614,368,18021.54750244858,0,0.0,28,1371.2047012732614,16,783.5455435847209,184,9010.77375122429,442,21645.445641527913,468,22918.707149853086
98,Odisha,2003,37670,19091,18580,50679.58587735598,49323.06875497743,94562,251027.34271303425,674,1789.2221927263074,3338,8861.162728962037,2428,6445.447305548181,2152,5712.768781523759,5922,15720.732678524024,4994,13257.233873108573,1874,4974.780992832493,22,58.40191133528006,508,1348.553225378285,2578,6843.642155561455,376,998.1417573666048,0,0.0,356,945.0491106981682,558,1481.284842049376,9518,25266.790549508893,0,0.0,376,998.1417573666048,954,2532.5192460844173,208,552.1635253517388,746,1980.3557207326783,2088,5542.872312184762,1450,3849.2168834616405,8566,22739.580568091318,60,159.27794000530926,1450,3849.2168834616405,2816,7475.444650915848,1750,4645.606583488187,10718,28452.34934961508,41204,109381.47066631271
99,Puducherry,2003,990,492,498,49696.969696969696,50303.030303030304,9034,912525.2525252525,36,3636.363636363636,112,11313.131313131315,64,6464.646464646465,590,59595.95959595959,252,25454.545454545452,364,36767.67676767676,64,6464.646464646465,2,202.02020202020202,24,2424.242424242424,8,808.0808080808081,0,0.0,0,0.0,4,404.04040404040404,2,202.02020202020202,2106,212727.27272727274,0,0.0,54,5454.545454545454,36,3636.363636363636,10,1010.1010101010102,26,2626.2626262626263,58,5858.585858585859,4,404.04040404040404,544,54949.49494949495,0,0.0,4,404.04040404040404,318,32121.212121212124,22,2222.222222222222,1134,114545.45454545454,4370,441414.14141414146
100,Punjab,2003,25041,13374,11667,53408.410207260094,46591.589792739906,57512,229671.3390040334,142,567.070005191486,692,2763.4679126232977,1288,5143.564554131225,2750,10981.98953715906,4188,16724.57170240805,4452,17778.84269797532,6246,24943.093326943814,112,447.2664829679326,686,2739.5072081785875,1974,7883.071762309813,178,710.83423185975,0,0.0,60,239.60704444710672,220,878.5591629727246,8248,32937.981709995605,0,0.0,398,1589.3933948324748,928,3705.922287448584,338,1349.786350385368,590,2356.1359370632163,1462,5838.424983027835,760,3035.0225629966853,3646,14560.12140090252,234,934.4674733437163,760,3035.0225629966853,0,0.0,216,862.5853600095842,6396,25542.110938061578,18632,74405.9742023082
101,Rajasthan,2003,58825,30644,28181,52093.49766255844,47906.50233744156,291158,494956.22609434766,1568,2665.5333616659586,5430,9230.76923076923,3954,6721.63195920102,10982,18668.933276668085,12144,20644.283892902677,10148,17251.16872078198,14450,24564.38589035274,116,197.19507012324692,1804,3066.723331916702,11466,19491.71270718232,122,207.39481512962178,0,0.0,72,122.3969400764981,778,1322.5669358266043,52346,88985.97535061624,2,3.399915002124947,66,112.19719507012324,4476,7609.009774755632,976,1659.1585210369742,3500,5949.851253718657,2524,4290.692732681683,2100,3569.9107522311942,21930,37280.067998300045,82,139.39651508712282,2100,3569.9107522311942,8104,13776.455588610284,1310,2226.94432639184,32912,55949.00127496813,125184,212807.47981300467
102,Sikkim,2003,555,296,259,53333.333333333336,46666.666666666664,886,159639.63963963962,4,720.7207207207207,50,9009.009009009009,14,2522.5225225225226,6,1081.081081081081,96,17297.297297297297,36,6486.486486486487,24,4324.324324324324,6,1081.081081081081,14,2522.5225225225226,2,360.36036036036035,6,1081.081081081081,0,0.0,4,720.7207207207207,0,0.0,112,20180.18018018018,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28,5045.045045045045,20,3603.6036036036035,124,22342.34234234234,0,0.0,20,3603.6036036036035,20,3603.6036036036035,6,1081.081081081081,130,23423.423423423425,314,56576.576576576575
103,Tamil Nadu,2003,63552,31959,31593,50287.95317220544,49712.04682779456,314372,494668.93252769386,1582,2489.3001007049347,4044,6363.293051359517,3686,5799.974823766364,9162,14416.540785498488,9698,15259.944612286003,18224,28675.73011077543,3808,5991.943605236657,126,198.2628398791541,614,966.1379657603223,3110,4893.630412890232,56,88.11681772406848,2,3.1470292044310173,190,298.9677744209466,440,692.3464249748238,60456,95128.39879154078,2,3.1470292044310173,1762,2772.532729103726,1758,2766.238670694864,494,777.3162134944612,1264,1988.9224572004027,3182,5006.923464249749,1112,1749.7482376636456,27264,42900.30211480362,86,135.32225579053375,1114,1752.8952668680763,7412,11662.89023162135,1028,1617.5730110775426,36426,57316.84290030211,155568,244788.51963746222
104,Tripura,2003,3283,1684,1599,51294.547669814194,48705.452330185806,7028,214072.49466950962,166,5056.350898568383,254,7736.826073713067,174,5300.030459945172,20,609.1989034419738,334,10173.621687480963,218,6640.268047517514,50,1522.9972586049346,6,182.75967103259214,6,182.75967103259214,494,15047.212915016753,0,0.0,0,0.0,72,2193.1160523911058,40,1218.3978068839476,1068,32531.2214438014,0,0.0,0,0.0,292,8894.303990252818,234,7127.627170271094,58,1766.6768199817243,508,15473.652147426134,228,6944.867499238501,532,16204.690831556503,0,0.0,228,6944.867499238501,548,16692.04995431008,138,4203.472433749619,552,16813.889734998476,1880,57264.69692354553
105,Uttar Pradesh,2003,172944,91132,81812,52694.5138310667,47305.4861689333,190146,109946.5723008604,594,343.4637801831807,2196,1269.7751873438801,7586,4386.390970487557,11210,6481.866962716255,8032,4644.277916551022,8856,5120.732722731058,5822,3366.4076232768984,452,261.35627717642706,3492,2019.1507077435472,5252,3036.8211675455636,3050,1763.5766490887224,0,0.0,634,366.5926542695902,2644,1528.8185771116662,15520,8974.003145526875,0,0.0,9940,5747.525210472754,4416,2553.427699139606,1418,819.9185863632158,2998,1733.50911277639,10568,6110.648533629383,1822,1053.5202146359516,20292,11733.277824035526,392,226.66296604681287,1822,1053.5202146359516,4502,2603.154778425386,3976,2299.0100841891017,31502,18215.14478675178,58898,34056.11064853363
106,Uttarakhand,2003,8780,4474,4306,50956.71981776765,49043.280182232345,15846,180478.35990888384,66,751.7084282460137,272,3097.9498861047837,472,5375.854214123007,800,9111.617312072893,1114,12687.927107061503,724,8246.013667425968,758,8633.257403189067,16,182.23234624145786,276,3143.507972665148,634,7220.956719817767,62,706.1503416856492,0,0.0,52,592.255125284738,186,2118.4510250569474,1374,15649.202733485194,0,0.0,196,2232.346241457859,342,3895.216400911162,74,842.8246013667425,268,3052.391799544419,536,6104.783599088838,214,2437.357630979499,1936,22050.1138952164,6,68.3371298405467,214,2437.357630979499,784,8929.384965831436,320,3644.646924829157,2736,31161.731207289296,4706,53599.08883826879
107,West Bengal,2003,82320,42523,39798,51655.73372206025,48345.48104956268,122348,148624.8785228377,174,211.37026239067058,2372,2881.438289601555,800,971.8172983479107,5162,6270.651117589892,684,830.9037900874636,4600,5587.9494655004855,3068,3726.919339164237,306,371.72011661807585,756,918.3673469387755,9896,12021.379980563654,968,1175.8989310009717,0,0.0,434,527.2108843537414,658,799.3197278911565,8344,10136.054421768707,2,2.4295432458697768,142,172.49757045675415,1804,2191.4480077745384,202,245.38386783284744,1602,1946.064139941691,2850,3462.099125364432,2004,2434.402332361516,20064,24373.177842565598,1766,2145.2866861030125,2004,2434.402332361516,5192,6307.094266277939,1196,1452.8668610301265,25226,30643.82896015549,49106,59652.575315840615
108,A&N Islands,2004,391,217,174,55498.721227621485,44501.278772378515,1496,382608.69565217395,18,4603.580562659847,12,3069.053708439898,2,511.50895140664966,18,4603.580562659847,138,35294.117647058825,12,3069.053708439898,24,6138.107416879796,0,0.0,0,0.0,10,2557.544757033248,4,1023.0179028132993,0,0.0,0,0.0,0,0.0,210,53708.43989769821,0,0.0,6,1534.526854219949,6,1534.526854219949,0,0.0,6,1534.526854219949,30,7672.634271099744,20,5115.089514066496,188,48081.84143222506,0,0.0,20,5115.089514066496,18,4603.580562659847,6,1534.526854219949,206,52685.421994884906,774,197953.9641943734
109,Andhra Pradesh,2004,78973,39844,39129,50452.68636116142,49547.31363883859,317512,402051.3340002279,1830,2317.2476669241387,7634,9666.594912185177,3816,4832.031200536892,10084,12768.92102364099,16914,21417.446469046383,22904,29002.317247666924,15856,20077.74809111975,350,443.1894444936877,1796,2274.1949780304662,16776,21242.7032023603,326,412.7993111569777,0,0.0,398,503.9697111671078,1024,1296.6456890329607,86670,109746.36901219403,4,5.065022222785003,4620,5850.1006673166785,3052,3864.6119559849567,992,1256.1255112506806,2060,2608.486444734276,5158,6531.346156281261,2032,2573.0312891747813,37072,46942.6259607714,4,5.065022222785003,2032,2573.0312891747813,5080,6432.578222936953,1192,1509.3766223899306,47156,59711.54698441239,72920,92335.3551213706
110,Arunachal Pradesh,2004,1141,602,539,52760.73619631901,47239.26380368098,4512,395442.59421560034,38,3330.4119193689744,122,10692.375109553024,90,7887.817703768624,150,13146.362839614372,430,37686.24014022787,0,0.0,68,5959.684487291849,2,175.28483786152498,52,4557.405784399649,8,701.1393514460999,2,175.28483786152498,0,0.0,60,5258.545135845749,0,0.0,858,75197.19544259421,0,0.0,0,0.0,130,11393.514460999124,48,4206.8361086766,82,7186.678352322524,134,11744.084136722173,84,7361.963190184049,626,54864.15425065732,4,350.56967572304995,84,7361.963190184049,130,11393.514460999124,90,7887.817703768624,776,68010.51709027169,1434,125679.2287467134
